,text,time,long,lat
35,Come see us this Saturday at @LostKnightPub with @theabsurdband and triangle_fire_… https://www.instagram.com/p/BZVA0-DFxWr/,2017-09-01 10:00:00,34.2322,-118.3617
36,Our dinner tonight : Fire Grilled Cornish Hen with Mac Cheese & Green Beans and Garlic Herb… https://www.instagram.com/p/BZUxfsbDdeq/,2017-09-01 10:00:00,34.2322,-118.3617
37,"everbarla Tell your #bartender ""Surprise me""... a little fire and a few monkeys later… https://www.instagram.com/p/BZUug0ZFms3/",2017-09-01 10:00:00,34.2322,-118.3617
38,"!!cleared sigalert!! earlier car fire put out and all lanes open in #Brea on 57 NB after Tonner Cyn Rd, stopped traffic back to Nutwood Ave",2017-09-01 10:00:00,34.2322,-118.3617
39,Testing the Blue Fire set by @lacemusic tonight with theg3band . So far I love what I'm hearing!… https://www.instagram.com/p/BZUmwSdlfOw/,2017-09-01 10:00:00,34.2322,-118.3617
40,"!!sigalert!! car fire blocking the carpool lane in #Brea on 57 NB after Tonner Cyn Rd, stopped traffic back to Nutwood Ave #LAtraffic",2017-09-01 10:00:00,34.2322,-118.3617
41,"!!sigalert!! car fire blocking the carpool lane in #Brea on 57 NB after Tonner Cyn Rd, stopped traffic back to Yorba Linda Blvd #LAtraffic",2017-09-01 10:00:00,34.2322,-118.3617
42,!!sigalert!! car fire blocking the carpool left lane and sout carpool lane in #Brea on 57 NB after Tonner Cyn Rd... http://bit.ly/10F395r,2017-09-01 10:00:00,34.2322,-118.3617
43,"!!sigalert!! car fire has the carpool and left lane shutdown in #Brea on 57 NB after Tonner Cyn Rd, stopped traffic back to Imperial Hwy",2017-09-01 10:00:00,34.2322,-118.3617
44,#Repost snoopdogg ・・・ #blazeup #MERRYJANE #snoopdogg #newsnoopdogg #music #fire #dope @… https://www.instagram.com/p/BZUN12QFjUn/,2017-09-01 10:00:00,34.2322,-118.3617
45,Fukkkkk can we talk about this!? #flame #fire #Vintage #tshirt #vintagetee #venicebeach… https://www.instagram.com/p/BZULprVnBXg/,2017-09-01 10:00:00,34.2322,-118.3617
46,Shout out to our FIRE FIGHTERS! @LAFDtalk @4thandspring . . . . . #firefighters #firefighter… https://www.instagram.com/p/BZUHGd_BPs3/,2017-09-01 10:00:00,34.2322,-118.3617
47,Thank you so much for the invite and showing me my feng shui element. YIN FIRE .... Lovely… https://www.instagram.com/p/BZT8AUfldr0/,2017-09-01 10:00:00,34.2322,-118.3617
48,The fuel to my fire ... My chocolate joy andrelisaone The LadyBug @Marina del Rey Summer… https://www.instagram.com/p/BZT6cCCj3RI/,2017-09-01 10:00:00,34.2322,-118.3617
49,"We are #water and #fire, yin and yang, silencer and bazooka. #mayhemandtoken is coming for your… https://www.instagram.com/p/BZTxaKuj681/",2017-09-01 10:00:00,34.2322,-118.3617
50,We are #Completely #Obsessed with this #entertaining #space made complete with this #Fire… https://www.instagram.com/p/BZToqp2BDsm/,2017-09-01 10:00:00,34.2322,-118.3617
51,"The roof is on fire with my bro nikolaagg #up @Los Angeles, California https://www.instagram.com/p/BZTk0nQg163/",2017-09-01 10:00:00,34.2322,-118.3617
52,When you have a random Thursday off school and your besties want to hangout @Fox Fire https://www.instagram.com/p/BZSulWTndxd/,2017-09-01 10:00:00,34.2322,-118.3617
53,Go FIRE FOX #lajrderbydolls #firefox #rollerderby #laderbydolls #derbydolls #23 #soproud @… https://www.instagram.com/p/BZSuEtugdhn/,2017-09-01 10:00:00,34.2322,-118.3617
54,When you hear someone say they like starting fires @Disneyland Park https://www.instagram.com/p/BZSm-cajv7j/,2017-09-01 10:00:00,34.2322,-118.3617
55,"Say George's Guest List to Enter too SGV Premium Nighg Club, Red Room Friday is gonna be Fire… https://www.instagram.com/p/BZSdEWYg_Vx/",2017-09-01 10:00:00,34.2322,-118.3617
56,"*To the tune, specifically the chorus, of ""Girl on Fire"" by Alicia Keys* THIS CHICKEN'S #onfire… https://www.instagram.com/p/BZSbR6ellAW/",2017-09-01 10:00:00,34.2322,-118.3617
57,A car fire is blocking the trans to the 405 south. in #MissionHills on 118 EB at I-405 #LAtraffic http://bit.ly/10F395r,2017-09-01 10:00:00,34.2322,-118.3617
58,King crab legs are absolute fire #Gmlife #katanarobatayaki #katanala #sunsetpatio @Katana https://www.instagram.com/p/BZSQIPcAsVd/,2017-09-01 10:00:00,34.2322,-118.3617
59,"After the fire @Sunland-Tujunga, Los Angeles https://www.instagram.com/p/BZSNfHvh4oI/",2017-09-01 10:00:00,34.2322,-118.3617
60,Mushroommmm. @Pit Fire Pizza Co https://www.instagram.com/p/BZSKCBoBK4v/,2017-09-01 10:00:00,34.2322,-118.3617
61,#Repost sgv.rob (get_repost) ・・・ #AlreadyKnow #MusicVideo #ComingSoon #Fire #Asian… https://www.instagram.com/p/BZR8Wo-nf3R/,2017-09-01 10:00:00,34.2322,-118.3617
62,"WARNING, Silver lake is psychedelic this Saturday with triangle_fire_ @westernerband and… https://www.instagram.com/p/BZR5j9oF1Sh/",2017-09-01 10:00:00,34.2322,-118.3617
63,"!!sgalert!! car fire blocking the right lane of the offramp in #DowntownLa on US-101 SB at Grand Ave, stopped traffic back to Hwy 2",2017-09-01 10:00:00,34.2322,-118.3617
64,"NOT ONLY DOES SHE GET THE KIDS TO SCHOOL EVERY MORNING, SHE PUT OUT FIRES! Employees at… https://www.instagram.com/p/BZR0JuwhMhi/",2017-09-01 10:00:00,34.2322,-118.3617
65,"FIRE in Van Nuys! (Actually just the #sunset) #fakenews @Van Nuys, California https://www.instagram.com/p/BZRy17plxmv/",2017-09-01 10:00:00,34.2322,-118.3617
66,#prayforjapan @Ring Of Fire https://www.instagram.com/p/BZRw41BlrDo/,2017-09-01 10:00:00,34.2322,-118.3617
67,"""Watch this madness, colorful charade....just like fire"" annnnnnd we're back . . . . #tennis… https://www.instagram.com/p/BZRvSmxBWBk/",2017-09-01 10:00:00,34.2322,-118.3617
68,Keeping these elephants fresh with beats! #tb #zoo #lazoo #animals #elephant #boss #fire… https://www.instagram.com/p/BZRl97qF-Y8/,2017-09-01 10:00:00,34.2322,-118.3617
69,"@SC_MG is on #fire #nextmonth a little. The STORY: Kendra, who is at wits end with her fiancé,… https://www.instagram.com/p/BZRevi8FFO6/",2017-09-01 10:00:00,34.2322,-118.3617
70,Los Angeles County Fire Department Engine 126… https://www.instagram.com/p/BZRIhfIAeN1/,2017-09-01 10:00:00,34.2322,-118.3617
71,"!! sigalert !! the right lane is blocked due to an suv fire. in #ShermanOaks on US-101 NB before Woodman Ave, sto... http://bit.ly/10F395r",2017-09-01 10:00:00,34.2322,-118.3617
72,Majusi abu lulu firoz will burn in hell fire along with rest of the agents of Abdullah bin sabah… https://www.instagram.com/p/BZRGceghf7z/,2017-09-01 10:00:00,34.2322,-118.3617
73,!! sigalert !! the two right lanes are blocked due to an suv fire. in #ShermanOaks on US-101 NB before Woodman Av... http://bit.ly/10F395r,2017-09-01 10:00:00,34.2322,-118.3617
74,"The two right lanes are blocked due to an suv fire. in #ShermanOaks on US-101 NB before Woodman Ave, stopped traffic back to Hwy 134",2017-09-01 10:00:00,34.2322,-118.3617
75,"An suv is on fire on the right shoulder. in #ShermanOaks on US-101 NB before Woodman Ave, stopped traffic back to Laurel Cyn Blvd #LAtraffic",2017-09-01 10:00:00,34.2322,-118.3617
