2019-10-26 23:14:40,"b""RT @DocKobryn: Michael Paramasivan tells it like it was. \nGlad you're safe. #LondonFire #GrenfellTower \nhttps://t.co/dWxFLVDS54"""
2019-10-26 23:10:09,"b'RT @SCVSignal: Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los Angeles Co\xe2\x80\xa6'"
2019-10-26 23:07:55,b'HUMAN REMAINS IN SAND CANYON: Deputies are investigating human remains that were discovered in Canyon Country Satur\xe2\x80\xa6 https://t.co/MsdR6JtwrP'
2019-10-26 23:03:30,b'@ArizonaFBall FIRE YATES PLEASE! JUST POUR ALL YOUR MONEY TOWARDS A NEW DEFENSIVE COORDINATOR'
2019-10-26 23:01:26,b'A Tick Fire 13 min. Documentary.... https://t.co/Xe8zfaL2Pb'
2019-10-26 23:00:12,"b'RT @SCVSignal: Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los Angeles Co\xe2\x80\xa6'"
2019-10-26 22:55:32,"b""RT @SCVSignal: We've posted a roundup of all coverage of this week's fires in the SCV, including #tickfire. Additional followups will be ad\xe2\x80\xa6"""
2019-10-26 22:53:05,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:52:50,"b'RT @SCVSignal: The Tick Fire, which led to what officials are calling the largest wildfire evacuation in Santa Clarita\xe2\x80\x99s history, leaving 4\xe2\x80\xa6'"
2019-10-26 22:52:07,b'RT @SCVSHERIFF: We understand some residents are frustrated who are still under mandatory evacuations. Keep in mind there may not appear to\xe2\x80\xa6'
2019-10-26 22:44:52,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:42:54,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:41:37,"b'RT @SCVSignal: Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los Angeles Co\xe2\x80\xa6'"
2019-10-26 22:38:06,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:35:57,b'RT @SCVSignal: Detectives with the Santa Clarita Valley Sheriff\xe2\x80\x99s Station are looking for an alleged gunman who shot at deputies inside fir\xe2\x80\xa6'
2019-10-26 22:34:09,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:33:22,b'RT @AustinDave_: BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office on scen\xe2\x80\xa6'
2019-10-26 22:31:56,b'BREAKING: Human remains found in Tick Fire burn area. @LASDHQ Homicide detectives and @CountyofLA coroner\xe2\x80\x99s office\xe2\x80\xa6 https://t.co/clzkzGDttX'
2019-10-26 22:30:16,"b'RT @SCVSignal: Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los Angeles Co\xe2\x80\xa6'"
2019-10-26 22:24:09,"b'RT @SCVSignal: Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los Angeles Co\xe2\x80\xa6'"
2019-10-26 22:23:50,"b'Human remains were discovered in Canyon Country near an area affected by the #TickFire Saturday, according to Los A\xe2\x80\xa6 https://t.co/JuauU6xXbS'"
2019-10-26 22:12:09,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 22:04:55,"b""@PsycheSojourn @icyjuicy Oh she's low key fire"""
2019-10-26 21:50:57,b'@LAmaleCA @CBSLA Nope. #SantaBarbara fire Dept. Enjoyed chatting with their firefighters.'
2019-10-26 21:47:18,b'@ClaudineKTVU PG&amp;E doesn\xe2\x80\x99t want to be blamed for starting the fire.'
2019-10-26 21:41:31,b'@QUACKHOUSE @HARDFEST @insomniacevents PLEASEEEEE \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc That hard summer mix from last year is fire I\xe2\x80\x99d love to se\xe2\x80\xa6 https://t.co/w6k4fZNdb9'
2019-10-26 21:32:00,"b'RT @santaclarita: TICK FIRE REPOPULATION: At 8am, ALL mandatory evacuation orders will be lifted WITH THE EXCEPTION OF Baker Canyon Rd from\xe2\x80\xa6'"
2019-10-26 21:25:44,"b'RT @SCVSignal: Criminal intent is suspected in the Borton Fire that occurred in Val Verde Friday night, according to law enforcement offici\xe2\x80\xa6'"
2019-10-26 20:56:21,b'Firefighters had their hands full battling the #TickFire and thankfully there were no lives lost.\xe2\x80\xa6 https://t.co/lBw7YOyJ6d'
2019-10-26 20:26:56,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 20:02:45,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 19:50:05,"b'RT @santaclarita: TICK FIRE REPOPULATION: At 8am, ALL mandatory evacuation orders will be lifted WITH THE EXCEPTION OF Baker Canyon Rd from\xe2\x80\xa6'"
2019-10-26 19:45:35,b'RT @SCVSHERIFF: #TickFire ***IS THIS YOUR DOG??*** Rescued by deputy from fire on Husk Ave. Pup is safe and has been taken to Castaic Anima\xe2\x80\xa6'
2019-10-26 19:43:55,b'RT @SCVSHERIFF: We understand some residents are frustrated who are still under mandatory evacuations. Keep in mind there may not appear to\xe2\x80\xa6'
2019-10-26 19:35:55,"b'RT @SCVSignal: The Tick Fire, which led to what officials are calling the largest wildfire evacuation in Santa Clarita\xe2\x80\x99s history, leaving 4\xe2\x80\xa6'"
2019-10-26 19:30:53,b'RT @Drewwzi: The fire better be scared\xf0\x9f\x98\xa4\xf0\x9f\x94\xa5 https://t.co/r05o7OKFsT'
2019-10-26 19:26:49,"b'RT @SCVSignal: The Tick Fire, which led to what officials are calling the largest wildfire evacuation in Santa Clarita\xe2\x80\x99s history, leaving 4\xe2\x80\xa6'"
2019-10-26 19:26:45,"b'RT @SCVSignal: Criminal intent is suspected in the Borton Fire that occurred in Val Verde Friday night, according to law enforcement offici\xe2\x80\xa6'"
2019-10-26 19:23:17,"b'@DramaFollower @Louisam77 Monday I have a dr. appointment, then heading out for a beach day  in Ventura. Providing\xe2\x80\xa6 https://t.co/b7s3ePXxw1'"
2019-10-26 19:19:43,b'FOR ANY OF THE FIRE VICTIMS: My family wants to donate all necessities from our furniture store located in Santa Cl\xe2\x80\xa6 https://t.co/iqnuMNSjiC'
2019-10-26 19:12:43,b'@Ask_Spectrum Yes the wifi and Cable Connection is down for the canyon Country area where the tick fire is. We lost\xe2\x80\xa6 https://t.co/X2R4sZ4U44'
2019-10-26 19:12:06,"b""Wait if I'm on fire, how am I so deep in love"""
2019-10-26 19:09:50,b'@monkiees0_0 @biafurst @gabbydiazXO umm maybe they named it that because where it started thats the street name \xf0\x9f\xa4\x94.\xe2\x80\xa6 https://t.co/vaYoKeVqbC'
2019-10-26 19:06:20,"b'RT @SCVSignal: The Tick Fire, which led to what officials are calling the largest wildfire evacuation in Santa Clarita\xe2\x80\x99s history, leaving 4\xe2\x80\xa6'"
2019-10-26 19:05:58,"b'Criminal intent is suspected in the Borton Fire that occurred in Val Verde Friday night, according to law enforceme\xe2\x80\xa6 https://t.co/EqJKjH5DnA'"
2019-10-26 19:04:18,"b'RT @santaclarita: TICK FIRE REPOPULATION: At 8am, ALL mandatory evacuation orders will be lifted WITH THE EXCEPTION OF Baker Canyon Rd from\xe2\x80\xa6'"
2019-10-26 18:56:20,"b'SCV just really wanna burn down, a fire every two weeks is crazy.'"
2019-10-26 18:54:27,b'Airbnb Launches Program for People Displaced by Tick Fire https://t.co/5zJghIl5Or via @KNX1070  #tickfire #santaclarita #canyoncountry'
2019-10-26 18:53:54,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 18:52:15,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 18:51:49,b'RT @SCVSHERIFF: #TickFire ***IS THIS YOUR DOG??*** Rescued by deputy from fire on Husk Ave. Pup is safe and has been taken to Castaic Anima\xe2\x80\xa6'
2019-10-26 18:42:50,"b'In Fire-Scarred California, \xe2\x80\x98If You\xe2\x80\x99re Told to Go, You Go\xe2\x80\x99 https://t.co/cdL0R8pJAo'"
2019-10-26 18:37:14,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 18:36:03,"b""RT @TheGentleBarn: \xf0\x9f\x9a\xa8URGENT FIRE ALERT\xf0\x9f\x9a\xa8 #TickFire is approaching #TheGentleBarn quickly and we're under MANDATORY EVACUATION orders. https:/\xe2\x80\xa6"""
2019-10-26 18:31:00,"b'RT @SCVSignal: The Tick Fire, which led to what officials are calling the largest wildfire evacuation in Santa Clarita\xe2\x80\x99s history, leaving 4\xe2\x80\xa6'"
